,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at
35,funNLP,fighting41love/funNLP,language-specific-nlp,https://github.com/fighting41love/funNLP,https://github.com/fighting41love/funNLP,,2018-08-21 11:20:39+00:00,2019-10-15 13:35:10+00:00,2019-10-15 13:34:58+00:00,4210.0,2.0,12.0,14196.0,88.0,,,,,,//ITbert&cocoNLPXLORE:NLUcs224n /+ASR + Microsoft//api()SpaCy Common..,10.0,14,False,3.0,,,,,
36,py2neo,technige/py2neo,db-clients,https://github.com/technige/py2neo,https://github.com/technige/py2neo,Apache-2.0,2011-07-03 10:01:07+00:00,2019-08-14 02:05:28+00:00,2019-05-10 14:37:08+00:00,157.0,138.0,521.0,819.0,1054.0,,,,,,Py2neo is a comprehensive toolkit for working with Neo4j from within..,30.0,14,True,3.0,,,,,
37,pybacktest,ematvey/pybacktest,financial-data,https://github.com/ematvey/pybacktest,https://github.com/ematvey/pybacktest,MIT,2012-10-26 11:30:22+00:00,2019-09-09 08:28:12+00:00,2019-09-09 08:28:11+00:00,185.0,8.0,9.0,453.0,178.0,,,,,,"Vectorized backtesting framework in Python / pandas, designed to..",9.0,14,True,1.0,,,,,
38,mlcrate,mxbi/mlcrate,ml-utilities,https://github.com/mxbi/mlcrate,https://github.com/mxbi/mlcrate,MIT,2017-12-25 23:03:19+00:00,2018-12-31 17:29:26+00:00,2018-12-31 17:29:26+00:00,37.0,2.0,1.0,299.0,47.0,2018-09-23 12:02:45+00:00,0.2.0,6.0,0.0,2.0,"A python module of handy tools and functions, mainly for ML and..",2.0,14,True,1.0,17.0,17.0,,,
39,Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,image,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,MIT,2019-10-10 07:40:48+00:00,2019-11-06 00:57:17+00:00,2019-11-06 00:57:16+00:00,682.0,8.0,53.0,3556.0,112.0,,,,,,1MB lightweight face detection model (1MB).,5.0,13,True,1.0,,,,,
40,pinball,pinterest/pinball,data-pipelines,https://github.com/pinterest/pinball,https://github.com/pinterest/pinball,Apache-2.0,2015-03-04 03:13:18+00:00,2019-05-24 21:48:21+00:00,2019-03-19 03:58:08+00:00,127.0,11.0,23.0,1029.0,150.0,,,,,,Pinball is a scalable workflow manager.,28.0,13,True,3.0,1.0,1.0,,,
41,rlpyt,astooke/rlpyt,others,https://github.com/astooke/rlpyt,https://github.com/astooke/rlpyt,MIT,2019-04-28 18:29:02+00:00,2019-11-06 12:50:59+00:00,2019-10-25 05:06:43+00:00,131.0,21.0,35.0,1012.0,548.0,,,,,,Reinforcement Learning in PyTorch.,7.0,13,True,3.0,,,,,
42,NeMo,NVIDIA/NeMo,nlp,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42+00:00,2019-11-09 02:43:36+00:00,2019-11-07 18:16:09+00:00,76.0,6.0,13.0,810.0,282.0,,,,,2.0,Neural Modules: a toolkit for conversational AI.,19.0,13,True,3.0,,,,,
43,MachineLearningStocks,robertmartin8/MachineLearningStocks,financial-data,https://github.com/robertmartin8/MachineLearningStocks,https://github.com/robertmartin8/MachineLearningStocks,MIT,2017-02-12 04:50:44+00:00,2019-10-29 18:57:58+00:00,2019-10-29 18:57:50+00:00,179.0,3.0,23.0,470.0,82.0,,,,,,Using python and scikit-learn to make stock predictions.,4.0,13,True,3.0,,,,,
44,pypostal,openvenues/pypostal,geospatial-data,https://github.com/openvenues/pypostal,https://github.com/openvenues/pypostal,MIT,2016-01-26 07:07:50+00:00,2019-08-04 07:18:36+00:00,2019-08-04 06:59:20+00:00,44.0,17.0,29.0,349.0,83.0,2017-04-06 07:35:52+00:00,1.0,,,1.0,Python bindings to libpostal for fast international address..,4.0,13,True,1.0,31.0,31.0,,,
45,datasist,risenW/datasist,others,https://github.com/risenW/datasist,https://github.com/risenW/datasist,MIT,2019-07-10 18:19:47+00:00,2019-11-09 23:39:39+00:00,2019-11-09 23:39:38+00:00,25.0,2.0,4.0,46.0,179.0,2019-10-30 08:10:43+00:00,_01,,,2.0,Datasist abstract numerous techniques and functions used repeatedly..,10.0,13,False,3.0,,,datasist,https://pypi.org/project/datasist,2019-10-30 08:16:28+00:00
46,transfer-learning-conv-ai,huggingface/transfer-learning-conv-ai,nlp,https://github.com/huggingface/transfer-learning-conv-ai,https://github.com/huggingface/transfer-learning-conv-ai,MIT,2019-05-07 12:51:08+00:00,2019-10-21 18:11:46+00:00,2019-10-21 18:05:52+00:00,129.0,17.0,20.0,622.0,25.0,,,,,,State-of-the-Art Conversational AI with Transfer Learning.,6.0,12,True,3.0,,,,,
47,pytorch-struct,harvardnlp/pytorch-struct,others,https://github.com/harvardnlp/pytorch-struct,https://github.com/harvardnlp/pytorch-struct,MIT,2019-08-26 19:34:30+00:00,2019-11-08 22:52:43+00:00,2019-11-01 21:06:40+00:00,29.0,6.0,5.0,426.0,188.0,,,,,,"Fast, general, and tested differentiable structured prediction in..",5.0,12,True,3.0,,,,,
48,chazutsu,chakki-works/chazutsu,nlp,https://github.com/chakki-works/chazutsu,https://github.com/chakki-works/chazutsu,Apache-2.0,2017-05-08 05:14:43+00:00,2019-09-27 11:16:21+00:00,2019-09-27 11:16:12+00:00,24.0,1.0,6.0,203.0,96.0,,,,,,The tool to make NLP datasets ready to use.,2.0,12,True,3.0,8.0,8.0,,,
49,tiler,nuno-faria/tiler,image,https://github.com/nuno-faria/tiler,https://github.com/nuno-faria/tiler,MIT,2019-09-07 15:52:25+00:00,2019-09-14 13:14:59+00:00,2019-09-12 07:52:12+00:00,170.0,12.0,17.0,3717.0,10.0,,,,,,Build images with images.,2.0,11,True,2.0,,,,,
50,MUSE,facebookresearch/MUSE,nlp,https://github.com/facebookresearch/MUSE,https://github.com/facebookresearch/MUSE,,2017-10-23 18:20:39+00:00,2019-08-13 03:46:21+00:00,2019-04-23 11:35:38+00:00,372.0,42.0,101.0,2209.0,50.0,,,,,,A library for Multilingual Unsupervised or Supervised word Embeddings.,8.0,11,False,3.0,,,,,
51,InferSent,facebookresearch/InferSent,nlp,https://github.com/facebookresearch/InferSent,https://github.com/facebookresearch/InferSent,,2017-05-18 20:45:29+00:00,2019-08-29 18:39:03+00:00,2019-08-29 18:39:02+00:00,369.0,18.0,99.0,1737.0,69.0,,,,,,InferSent sentence embeddings.,10.0,11,False,3.0,,,,,
52,SentEval,facebookresearch/SentEval,nlp,https://github.com/facebookresearch/SentEval,https://github.com/facebookresearch/SentEval,,2017-05-18 20:44:47+00:00,2019-04-20 09:35:27+00:00,2019-02-05 15:46:45+00:00,183.0,12.0,35.0,1207.0,134.0,,,,,,A python tool for evaluating the quality of sentence embeddings.,11.0,11,False,3.0,,,,,
53,graph2vec,benedekrozemberczki/graph2vec,graph,https://github.com/benedekrozemberczki/graph2vec,https://github.com/benedekrozemberczki/graph2vec,MIT,2018-07-10 11:04:51+00:00,2019-09-06 02:03:55+00:00,2019-09-06 02:03:54+00:00,65.0,,15.0,413.0,53.0,,,,,,A parallel implementation of graph2vec: Learning Distributed..,1.0,11,True,2.0,,,,,
54,cvxpylayers,cvxgrp/cvxpylayers,others,https://github.com/cvxgrp/cvxpylayers,https://github.com/cvxgrp/cvxpylayers,Apache-2.0,2019-10-27 22:42:31+00:00,2019-11-09 01:46:42+00:00,2019-11-09 00:25:57+00:00,21.0,2.0,3.0,413.0,31.0,,,,,,Differentiable convex optimization layers.,3.0,11,True,3.0,,,,,
55,dframcy,yash1994/dframcy,others,https://github.com/yash1994/dframcy,https://github.com/yash1994/dframcy,MIT,2019-09-27 06:32:38+00:00,2019-11-04 12:29:35+00:00,2019-11-04 12:29:29+00:00,1.0,,,30.0,62.0,2019-11-04 10:03:15+00:00,0.1.3,,,3.0,Dataframe Integration with spaCy.,,11,False,3.0,1.0,1.0,,,
56,text-to-text-transfer-transformer,google-research/text-to-text-transfer-transformer,nlp,https://github.com/google-research/text-to-text-transfer-transformer,https://github.com/google-research/text-to-text-transfer-transformer,Apache-2.0,2019-10-17 21:45:14+00:00,2019-11-07 23:54:42+00:00,2019-11-07 23:54:36+00:00,82.0,3.0,6.0,1054.0,20.0,,,,,,Code for the paper Exploring the Limits of Transfer Learning with a..,5.0,10,True,3.0,2.0,2.0,,,
57,gpt-2-output-dataset,openai/gpt-2-output-dataset,nlp,https://github.com/openai/gpt-2-output-dataset,https://github.com/openai/gpt-2-output-dataset,,2019-05-03 02:58:09+00:00,2019-11-05 21:30:51+00:00,2019-11-05 21:30:01+00:00,152.0,8.0,2.0,608.0,18.0,,,,,,"Dataset of GPT-2 outputs for research in detection, biases, and more.",5.0,10,False,3.0,,,,,
58,torchbeast,facebookresearch/torchbeast,reinforcement-learning,https://github.com/facebookresearch/torchbeast,https://github.com/facebookresearch/torchbeast,Apache-2.0,2019-08-30 18:30:09+00:00,2019-10-23 13:31:39+00:00,2019-10-23 13:24:56+00:00,27.0,2.0,1.0,302.0,11.0,,,,,,A PyTorch Platform for Distributed RL.,,10,True,1.0,,,,,
59,AttentionWalk,benedekrozemberczki/AttentionWalk,graph,https://github.com/benedekrozemberczki/AttentionWalk,https://github.com/benedekrozemberczki/AttentionWalk,MIT,2019-01-11 15:09:12+00:00,2019-09-06 04:08:03+00:00,2019-09-06 04:08:03+00:00,20.0,,4.0,155.0,54.0,,,,,,A PyTorch Implementation of Watch Your Step: Learning Node..,1.0,10,True,2.0,,,,,
60,Splitter,benedekrozemberczki/Splitter,graph,https://github.com/benedekrozemberczki/Splitter,https://github.com/benedekrozemberczki/Splitter,MIT,2019-03-17 16:08:17+00:00,2019-08-04 18:39:43+00:00,2019-08-04 18:39:43+00:00,30.0,,4.0,121.0,96.0,,,,,,A Pytorch implementation of Splitter: Learning Node Representations..,,10,True,2.0,,,,,
61,KnowledgeGraphData,ownthink/KnowledgeGraphData,graph,https://github.com/ownthink/KnowledgeGraphData,https://github.com/ownthink/KnowledgeGraphData,,2019-10-11 14:08:37+00:00,2019-10-18 05:09:37+00:00,2019-10-18 05:09:36+00:00,337.0,11.0,3.0,2225.0,6.0,,,,,,1.4.,1.0,9,False,3.0,,,,,
62,votenet,facebookresearch/votenet,image,https://github.com/facebookresearch/votenet,https://github.com/facebookresearch/votenet,MIT,2019-08-17 01:31:24+00:00,2019-10-31 16:52:10+00:00,2019-10-21 05:06:10+00:00,99.0,9.0,36.0,612.0,9.0,,,,,,Deep Hough Voting for 3D Object Detection in Point Clouds.,1.0,9,False,3.0,,,,,
63,bert-sklearn,charles9n/bert-sklearn,nlp,https://github.com/charles9n/bert-sklearn,https://github.com/charles9n/bert-sklearn,Apache-2.0,2019-02-18 03:48:10+00:00,2019-08-10 18:00:23+00:00,2019-08-10 18:00:22+00:00,18.0,3.0,6.0,78.0,47.0,,,,,2.0,a sklearn wrapper for Google's BERT model.,2.0,9,False,3.0,,,,,
64,pgANN,netrasys/pgANN,nn-search,https://github.com/netrasys/pgANN,https://github.com/netrasys/pgANN,MIT,2019-07-02 13:53:56+00:00,2019-10-21 10:39:40+00:00,2019-10-21 10:39:39+00:00,7.0,1.0,1.0,105.0,24.0,,,,,,Fast Approximate Nearest Neighbor (ANN) searches with a PostgreSQL..,1.0,8,False,1.0,,,,,
65,mvfst-rl,facebookresearch/mvfst-rl,reinforcement-learning,https://github.com/facebookresearch/mvfst-rl,https://github.com/facebookresearch/mvfst-rl,,2019-09-09 23:11:15+00:00,2019-11-07 11:28:04+00:00,2019-11-07 11:28:03+00:00,10.0,1.0,1.0,66.0,241.0,,,,,,An asynchronous RL platform for congestion control in QUIC transport..,7.0,8,False,3.0,,,,,
66,babble,HazyResearch/babble,nlp,https://github.com/HazyResearch/babble,https://github.com/HazyResearch/babble,Apache-2.0,2018-05-04 05:04:30+00:00,2019-06-24 16:43:59+00:00,2019-06-24 16:43:58+00:00,12.0,,,104.0,15.0,,,,,,A system for generating training labels via natural language..,1.0,7,False,3.0,,,,,
67,Weighted-Boxes-Fusion,ZFTurbo/Weighted-Boxes-Fusion,image,https://github.com/ZFTurbo/Weighted-Boxes-Fusion,https://github.com/ZFTurbo/Weighted-Boxes-Fusion,,2019-10-27 16:17:58+00:00,2019-10-31 07:10:44+00:00,2019-10-31 07:10:43+00:00,3.0,,1.0,89.0,9.0,2019-10-31 07:08:38+00:00,1.1,17.0,17.0,2.0,"Set of methods to ensemble boxes from object detection models,..",2.0,7,False,3.0,,,,,
68,stacknn-core,viking-sudo-rm/stacknn-core,ml-utilities,https://github.com/viking-sudo-rm/stacknn-core,https://github.com/viking-sudo-rm/stacknn-core,,2019-10-07 22:01:18+00:00,2019-10-22 19:57:43+00:00,2019-10-22 19:57:43+00:00,,,,50.0,539.0,,,,,,Pip-installable differentiable stacks in PyTorch!.,8.0,7,False,3.0,,,,,
69,few-shot-vid2vid,NVlabs/few-shot-vid2vid,image,https://github.com/NVlabs/few-shot-vid2vid,https://github.com/NVlabs/few-shot-vid2vid,,2019-10-25 07:00:49+00:00,2019-10-29 01:17:24+00:00,2019-10-29 01:18:30+00:00,35.0,1.0,,508.0,3.0,,,,,,,1.0,6,False,3.0,,,,,
70,holmes-extractor,msg-systems/holmes-extractor,nlp,https://github.com/msg-systems/holmes-extractor,https://github.com/msg-systems/holmes-extractor,,2019-04-29 19:00:58+00:00,2019-11-08 18:16:21+00:00,2019-05-13 09:53:39+00:00,14.0,,,132.0,10.0,,,,,,Information extraction from English and German texts based on..,2.0,6,False,3.0,,,,,
71,receptive_field,google-research/receptive_field,others,https://github.com/google-research/receptive_field,https://github.com/google-research/receptive_field,Apache-2.0,2019-10-14 21:53:30+00:00,2019-11-04 18:13:36+00:00,2019-11-04 18:13:32+00:00,5.0,,,71.0,2.0,,,,,,Compute receptive fields of your favorite convnets.,2.0,6,False,3.0,,,,,
72,fastGraph,AngusKung/fastGraph,graph,https://github.com/AngusKung/fastGraph,https://github.com/AngusKung/fastGraph,Apache-2.0,2019-01-12 08:40:24+00:00,2019-03-27 08:37:39+00:00,2019-03-27 08:37:21+00:00,,,,,10.0,,,,,,A fast and lightweight package designed for Graph Embedding.,1.0,4,False,3.0,,,,,
73,riko,pnerevu/riko,data-pipelines,,{},,,,,,,,,,,,,,,,,0,False,,,,,,
